,Date ,Open ,High ,Low ,Close ,SMA
73,13-Jun-24,23480.95,23481.05,23353.9,23398.9,22814.019047619047
74,14-Jun-24,23464.95,23490.4,23334.25,23465.6,22864.57857142857
75,18-Jun-24,23570.8,23579.05,23499.7,23557.9,22916.569047619047
76,19-Jun-24,23629.85,23664.0,23412.9,23516.0,22964.854761904764
77,20-Jun-24,23586.15,23624.0,23442.6,23567.0,23014.280952380952
78,21-Jun-24,23661.15,23667.1,23398.2,23501.1,23057.295238095237
79,24-Jun-24,23382.3,23558.1,23350.0,23537.85,23084.44761904762
80,25-Jun-24,23577.1,23754.15,23562.05,23721.3,23120.838095238098
81,26-Jun-24,23723.1,23889.9,23670.45,23868.8,23165.42619047619
82,27-Jun-24,23881.55,24087.45,23805.4,24044.5,23220.490476190476
83,28-Jun-24,24085.9,24174.0,23985.8,24010.6,23282.676190476188
84,01-Jul-24,23992.95,24164.0,23992.7,24141.95,23361.404761904763
85,02-Jul-24,24228.75,24236.35,24056.4,24123.85,23437.269047619047
86,03-Jul-24,24291.75,24309.15,24207.1,24286.5,23485.964285714286
87,04-Jul-24,24369.95,24401.0,24281.0,24302.15,23601.090476190475
88,05-Jul-24,24213.35,24363.0,24168.85,24323.85,23682.209523809524
89,08-Jul-24,24329.45,24344.6,24240.55,24320.55,23753.597619047618
90,09-Jul-24,24351.0,24443.6,24331.9,24433.2,23808.028571428575
91,10-Jul-24,24459.85,24461.05,24141.8,24324.45,23858.754761904762
92,11-Jul-24,24396.55,24402.65,24193.75,24315.95,23908.807142857142
93,12-Jul-24,24387.95,24592.2,24331.15,24502.15,23964.959523809524
94,15-Jul-24,24587.6,24635.05,24522.75,24586.7,24021.52142857143
95,16-Jul-24,24615.9,24661.25,24587.65,24613.0,24076.159523809525
96,18-Jul-24,24543.8,24837.75,24504.45,24800.85,24135.347619047618
97,19-Jul-24,24853.8,24854.8,24508.15,24530.9,24183.67619047619
98,22-Jul-24,24445.75,24595.2,24362.3,24509.25,24228.545238095237
99,23-Jul-24,24568.9,24582.55,24074.2,24479.05,24275.114285714288
100,24-Jul-24,24444.95,24504.25,24307.25,24413.5,24316.811904761904
101,25-Jul-24,24230.95,24426.15,24210.8,24406.1,24349.421428571426
102,26-Jul-24,24423.35,24861.15,24410.9,24834.85,24395.42380952381
103,29-Jul-24,24943.3,24999.75,24774.6,24836.1,24433.119047619046
104,30-Jul-24,24839.4,24971.75,24798.65,24857.3,24473.438095238096
105,31-Jul-24,24886.7,24984.6,24856.5,24951.15,24511.97142857143
106,01-Aug-24,25030.95,25078.3,24956.4,25010.9,24554.2119047619
107,02-Aug-24,24789.0,24851.9,24686.85,24717.7,24574.745238095238
108,05-Aug-24,24302.85,24350.05,23893.7,24055.6,24563.004761904762
109,06-Aug-24,24189.85,24382.6,23960.4,23992.55,24547.22857142857
110,07-Aug-24,24289.4,24337.7,24184.9,24297.5,24546.130952380954
111,08-Aug-24,24248.55,24340.5,24079.7,24117.0,24531.07380952381
112,09-Aug-24,24386.85,24419.75,24311.2,24367.5,24533.123809523808
113,12-Aug-24,24320.05,24472.8,24212.1,24347.0,24534.602380952383
114,13-Aug-24,24342.35,24359.95,24116.5,24139.0,24517.309523809523
115,14-Aug-24,24184.4,24196.5,24099.7,24143.75,24496.216666666667
116,16-Aug-24,24334.85,24563.9,24204.5,24541.15,24492.795238095237
117,19-Aug-24,24636.35,24638.8,24522.95,24572.65,24481.928571428572
118,20-Aug-24,24648.9,24734.3,24607.2,24698.85,24489.926190476188
119,21-Aug-24,24680.55,24787.95,24654.5,24770.2,24502.35238095238
120,22-Aug-24,24863.4,24867.35,24784.45,24811.5,24518.18333333333
121,23-Aug-24,24845.4,24858.4,24771.65,24823.15,24537.690476190477
122,26-Aug-24,24906.1,25043.8,24874.7,25010.6,24566.47619047619
123,27-Aug-24,25024.8,25073.1,24973.65,25017.75,24575.18571428571
124,28-Aug-24,25030.8,25129.6,24964.65,25052.35,24585.483333333334
125,29-Aug-24,25035.3,25192.9,24998.5,25151.95,24599.51428571429
126,30-Aug-24,25249.7,25268.35,25199.4,25235.9,24613.07380952381
127,02-Sep-24,25333.6,25333.65,25235.5,25278.7,24625.826190476193
128,03-Sep-24,25313.4,25321.7,25235.8,25279.85,24652.595238095237
129,04-Sep-24,25089.95,25216.0,25083.8,25198.7,24707.02857142857
130,05-Sep-24,25250.5,25275.45,25127.75,25145.1,24761.911904761906
131,06-Sep-24,25093.7,25168.75,24801.3,24852.15,24788.32380952381
132,09-Sep-24,24823.4,24957.5,24753.15,24936.4,24827.34285714286
133,10-Sep-24,24999.4,25130.5,24896.8,25041.1,24859.41904761905
134,11-Sep-24,25034.0,25113.7,24885.15,24918.45,24886.630952380954
135,12-Sep-24,25059.65,25433.35,24941.45,25388.9,24946.15
136,13-Sep-24,25430.45,25430.5,25292.45,25356.5,25003.9
137,16-Sep-24,25406.65,25445.7,25336.2,25383.75,25044.02380952381
138,17-Sep-24,25416.9,25441.65,25352.25,25418.55,25084.304761904765
139,18-Sep-24,25402.4,25482.2,25285.55,25377.55,25116.623809523808
140,19-Sep-24,25487.05,25611.95,25376.05,25415.8,25147.36666666667
141,20-Sep-24,25525.95,25849.25,25426.6,25790.95,25194.007142857143
142,23-Sep-24,25872.55,25956.0,25847.35,25939.05,25247.14523809524
143,24-Sep-24,25921.45,26011.55,25886.85,25940.4,25291.421428571426
144,25-Sep-24,25899.45,26032.8,25871.35,26004.15,25338.39285714286
145,26-Sep-24,26005.4,26250.9,25998.4,26216.05,25393.807142857142
146,27-Sep-24,26248.25,26277.35,26151.4,26178.95,25442.71190476191
147,30-Sep-24,26061.3,26134.7,25794.1,25810.85,25470.09047619048
148,01-Oct-24,25788.45,25907.6,25739.2,25796.9,25494.766666666666
149,03-Oct-24,25452.85,25639.45,25230.3,25250.1,25493.35
150,04-Oct-24,25181.9,25485.05,24966.8,25014.6,25484.583333333332
151,07-Oct-24,25084.1,25143.0,24694.35,24795.75,25467.94761904762
152,08-Oct-24,24832.2,25044.0,24756.8,25013.15,25475.614285714288
153,09-Oct-24,25065.8,25234.05,24947.7,24981.95,25477.783333333333
154,10-Oct-24,25067.05,25134.05,24979.4,24998.45,25475.752380952385
155,11-Oct-24,24985.3,25028.65,24920.05,24964.25,25477.93333333333
156,14-Oct-24,25023.45,25159.75,25017.5,25127.95,25465.507142857143
157,15-Oct-24,25186.3,25212.05,25008.15,25057.35,25451.261904761905
158,16-Oct-24,25008.55,25093.4,24908.45,24971.3,25431.621428571427
159,17-Oct-24,25027.4,25029.5,24728.9,24749.85,25399.77857142857
160,18-Oct-24,24664.95,24886.2,24567.65,24854.05,25374.85
161,21-Oct-24,24956.15,24978.3,24679.6,24781.1,25344.626190476192
162,22-Oct-24,24798.65,24882.0,24445.8,24472.1,25281.823809523812
163,23-Oct-24,24378.15,24604.25,24378.1,24435.5,25210.22619047619
164,24-Oct-24,24412.7,24480.65,24341.2,24399.4,25136.845238095237
165,25-Oct-24,24418.05,24440.25,24073.9,24180.8,25050.019047619047
166,28-Oct-24,24251.1,24492.6,24134.9,24339.15,24960.64285714286
167,29-Oct-24,24328.85,24484.5,24140.85,24466.85,24879.114285714288
168,30-Oct-24,24371.45,24498.2,24307.3,24340.85,24809.114285714284
169,31-Oct-24,24349.85,24372.45,24172.6,24205.35,24733.326190476193
170,01-Nov-24,24302.75,24368.25,24280.2,24304.35,24688.290476190476
171,04-Nov-24,24315.75,24316.75,23816.15,23995.35,24639.754761904762
172,05-Nov-24,23916.5,24229.05,23842.75,24213.3,24612.019047619047
173,06-Nov-24,24308.75,24537.6,24204.05,24484.05,24586.82380952381
174,07-Nov-24,24489.6,24503.35,24179.05,24199.35,24549.557142857142
175,08-Nov-24,24207.7,24276.15,24066.65,24148.2,24509.069047619047
176,11-Nov-24,24087.25,24336.8,24004.6,24141.3,24469.880952380954
177,12-Nov-24,24225.8,24242.0,23839.15,23883.45,24410.619047619046
178,13-Nov-24,23822.45,23873.6,23509.6,23559.05,24339.271428571425
179,14-Nov-24,23542.15,23675.9,23484.15,23532.7,24270.766666666666
